,Text,Text_unigram,Text_tfidf,word_count,unigram_count,unique_word_count,unique_unigram_count,stopword_count,mean_word_length,mean_unigram_length,char_count,punctuation_count,number_count,Sentiment
0,"#TCS #share price jumps 9% on no #layoffs, #dividend announcements; should you buy, sell or hold the stock https://t.co/ijDFJRDLOl","['#tcs', '#share', 'price', 'jump', '9', '%', 'on', 'no', '#layoffs', ',', '#dividend', 'announcement', ';', 'buy', ',', 'sell', 'hold', 'stock', 'https://t.co/ijdfjrdlol']","  (0, 578)	0.19044843494547936
  (0, 577)	0.19018347043576947
  (0, 303)	0.18887569403738053
  (0, 616)	0.3829120778047258
  (0, 385)	0.3788566247552746
  (0, 764)	0.2821763906679244
  (0, 962)	0.31075696298040056
  (0, 1042)	0.23111177580292883
  (0, 878)	0.2779276672192036
  (0, 983)	0.2965510170429694
  (0, 569)	0.32932699473080973
  (0, 256)	0.26609924297592086
  (0, 783)	0.1663555922118503",19,19,19,18,6,5.894736842105263,5.052631578947368,130,13,0,1
1,Today's Watchlist for SHOT Stocks: SA; SB; IG; PB; CA,"[""today's"", 'watchlist', 'shot', 'stock', ':', 'sa', ';', 'sb', ';', 'ig', ';', 'pb', ';', 'ca']","  (0, 942)	0.5050013986842169
  (0, 262)	0.4859186719576249
  (0, 1042)	0.2703525198222709
  (0, 1092)	0.2724026367973246
  (0, 993)	0.4063885479930947
  (0, 1170)	0.4431831428671451",10,14,10,11,1,4.4,2.857142857142857,53,6,0,-1
2,user I thought FIO is pure FB play (flash) what do u know that analyst don't FB maybe losing the youth but the kiddies OVE Instagram,"['user', 'thought', 'fio', 'pure', 'fb', 'play', '(', 'flash', ')', 'know', 'analyst', 'not', 'fb', 'maybe', 'losing', 'youth', 'kiddy', 'ove', 'instagram']","  (0, 822)	0.3291306223847525
  (0, 454)	0.5622648562616819
  (0, 697)	0.28895893923218235
  (0, 474)	0.3019660313541879
  (0, 1084)	0.3173565004479337
  (0, 174)	0.3200343814548867
  (0, 624)	0.2694919729409844
  (0, 850)	0.2667620650957805
  (0, 766)	0.17434976894259285
  (0, 1133)	0.15338707146879374",26,19,24,18,9,4.115384615384615,4.2105263157894735,132,3,0,1
3,"ES,SPY  You wont here this on CNBC,,,real time assessment of jobs number mkt reactions...  ","['e', ',', 'spy', 'not', 'on', 'cnbc', ',', ',', ',', 'real', 'time', 'assessment', 'job', 'number', 'mkt', 'reaction', '...']","  (0, 302)	0.4226630303797523
  (0, 910)	0.39087207461398005
  (0, 710)	0.3973417662500004
  (0, 614)	0.36831681196955235
  (0, 1028)	0.2997576676317541
  (0, 770)	0.38234455063220407
  (0, 766)	0.21646563354223483
  (0, 1090)	0.258488203146921
  (0, 783)	0.15912791859993367",14,17,14,14,5,5.357142857142857,3.411764705882353,91,7,0,-1
4,ATHX doesn't like 1.35 but I do staying long for a wk or two,"['athx', 'not', 'like', '1.35', 'staying', 'long', 'wk', 'two']","  (0, 1191)	0.5423279697373616
  (0, 1124)	0.4678330057699921
  (0, 659)	0.31903256830064525
  (0, 766)	0.29013578050040956
  (0, 49)	0.4484621022559124
  (0, 643)	0.316123146937844",14,8,14,8,7,3.357142857142857,3.875,60,2,0,1
5,QIK holding below 26.50 makes sense on the short side,"['qik', 'holding', '26.50', 'make', 'sense', 'on', 'short', 'side']","  (0, 998)	0.43279555330838143
  (0, 794)	0.4746175502435698
  (0, 679)	0.36588468400963475
  (0, 38)	0.4054025218519671
  (0, 570)	0.34454580772656507
  (0, 73)	0.28208097486788497
  (0, 987)	0.23824907389006048
  (0, 783)	0.1848222716738446",10,8,10,8,3,4.4,4.375,53,1,0,-1
6,"Gold Imports Slump 73% In March To Lowest In Over 6 Years: Report
https://t.co/FK0QiSOT9D","['gold', 'import', 'slump', '73', '%', 'march', 'lowest', 'over', '6', 'year', ':', 'report', 'https://t.co/fk0qisot9d']","  (0, 921)	0.36256013326884867
  (0, 920)	0.35919634946343904
  (0, 578)	0.16323630826866917
  (0, 577)	0.1630092030766541
  (0, 1007)	0.36256013326884867
  (0, 303)	0.16188828763634072
  (0, 519)	0.32819988250479726
  (0, 685)	0.28944417962582447
  (0, 102)	0.3700186292475972
  (0, 919)	0.30889579358144525
  (0, 823)	0.19943944902851868
  (0, 1213)	0.2550544738968165",14,13,13,13,4,5.428571428571429,5.230769230769231,89,7,1,-1
7,"Sensex ends 1,266 points higher, Nifty reclaims 9,100 as markets spike 4%; auto stocks jump #Sensex #Nifty #MarketUpdates","['sensex', 'end', '1,266', 'point', 'higher', ',', 'nifty', 'reclaims', '9,100', 'market', 'spike', '4', '%', ';', 'auto', 'stock', 'jump', '#sensex', '#nifty', '#marketupdates']","  (0, 972)	0.22588880424361493
  (0, 758)	0.22588880424361493
  (0, 970)	0.19418483214948198
  (0, 693)	0.22588880424361493
  (0, 857)	0.24229819101400202
  (0, 564)	0.24229819101400202
  (0, 856)	0.22335413464174006
  (0, 969)	0.24027076595802582
  (0, 756)	0.3483637655132012
  (0, 968)	0.34249756855764907
  (0, 188)	0.24918495959278575
  (0, 1021)	0.24918495959278575
  (0, 616)	0.22335413464174006
  (0, 421)	0.19418483214948198
  (0, 12)	0.2062272461480166
  (0, 1042)	0.13480841603618365
  (0, 855)	0.1645946085464165
  (0, 563)	0.15939454197875338
  (0, 688)	0.1433075804545329",18,20,18,20,1,5.777777777777778,4.9,121,8,0,1
8,RT @jasonzweigwsj: Heard on the Street: Countries without lockdowns are in a state of economic free fall too https://t.co/Aram6sjZU1 via @Wâ€¦,"['rt', '@jasonzweigwsj', ':', 'heard', 'on', 'street', ':', 'country', 'without', 'lockdown', 'state', 'economic', 'free', 'fall', 'too', 'https://t.co/aram6sjzu1', 'via', '@wâ', '€', '¦']","  (0, 655)	0.24424265188866415
  (0, 938)	0.20280654662549139
  (0, 553)	0.24773761801859173
  (0, 795)	0.24773761801859173
  (0, 552)	0.24773761801859173
  (0, 578)	0.12579825827733618
  (0, 577)	0.12562323938659886
  (0, 551)	0.24537418507725736
  (0, 331)	0.288370361064843
  (0, 450)	0.2310477039711343
  (0, 1051)	0.2243995232790618
  (0, 303)	0.1247594045476272
  (0, 1190)	0.28217862587410136
  (0, 1141)	0.25156592026799895
  (0, 1037)	0.2851553038855957
  (0, 408)	0.2605288763886435
  (0, 1097)	0.20926428790018164
  (0, 485)	0.26991243082227506
  (0, 783)	0.10988404163539861",21,20,21,19,7,5.809523809523809,5.4,142,9,0,-1
9,For the past 10 years  has booked an avg return: 6.6% from Jan to Mar option expiration. Posting positive returns for 8 of past 10 years,"['past', '10', 'year', 'booked', 'average', 'return', ':', '6.6', '%', 'jan', 'mar', 'option', 'expiration', '.', 'posting', 'positive', 'return', '8', 'past', '10', 'year']","  (0, 684)	0.23909532234790465
  (0, 865)	0.226212687866899
  (0, 832)	0.4716190803814244
  (0, 192)	0.19719148626360652
  (0, 445)	0.2537401940197879
  (0, 611)	0.2216919581420566
  (0, 815)	0.19459189718748657
  (0, 11)	0.33241033664088876
  (0, 1213)	0.35349718425159304
  (0, 928)	0.4934550632510684",26,21,23,17,8,4.230769230769231,4.238095238095238,136,4,3,1
10,"Commentary on AGNC. DDD. ZNGA, HX, AGNC, BSX, VT  ","['commentary', 'on', 'agnc', '.', 'ddd', '.', 'znga', ',', 'hx', ',', 'agnc', ',', 'bsx', ',', 'vt']","  (0, 1221)	0.6942761882467482
  (0, 366)	0.6365922372023303
  (0, 783)	0.335754222560637",9,15,9,10,1,4.444444444444445,2.6666666666666665,50,6,0,1
11,KKD let put in a cup and handle before earnings,"['kkd', 'let', 'put', 'cup', 'handle', 'earnings']","  (0, 640)	0.4243206308945037
  (0, 894)	0.35113749174645953
  (0, 404)	0.34442041125119627
  (0, 355)	0.4483996124043078
  (0, 540)	0.4329733529193571
  (0, 354)	0.43531701972044307",10,6,10,6,4,3.8,4.333333333333333,47,0,0,1
12,WNC bounce from 20-day and about 8 cents from our line on volume of 12% ave full day   ,"['wnc', 'bounce', '20', '-', 'day', '8', 'cent', 'line', 'on', 'volume', '12', '%', 'ave', 'full', 'day']","  (0, 280)	0.275515307229195
  (0, 26)	0.28293092712871554
  (0, 650)	0.2920069123751854
  (0, 191)	0.26215396181865575
  (0, 190)	0.26215396181865575
  (0, 189)	0.2547383419191352
  (0, 649)	0.28573709508669265
  (0, 490)	0.23562174195602467
  (0, 237)	0.22792464478868046
  (0, 796)	0.2508617621091976
  (0, 25)	0.19326237307823219
  (0, 489)	0.2208611768973928
  (0, 364)	0.3084756956005585
  (0, 1152)	0.16135666428488687
  (0, 648)	0.2053640785790305
  (0, 14)	0.20617757175362683
  (0, 783)	0.11126975601367022",18,15,17,14,7,3.7222222222222223,3.0,87,2,1,1
